REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2000-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,93.2,,,,1
2000-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,93.9,,,,1
2000-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,94.7,,,,1
2000-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,94.1,,,,1
2000-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,94.7,,,,1
2000-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,95.3,,,,1
2000-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,95.5,,,,1
2000-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,95.3,,,,1
2000-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,95.7,,,,1
2000-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,95.9,,,,1
2000-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,96.5,,,,1
2000-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,96.6,,,,1
2001-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,96.5,,,,1
2001-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,97.1,,,,1
2001-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,97.7,,,,1
2001-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,98.1,,,,1
2001-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,98.7,,,,1
2001-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,98.7,,,,1
2001-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,98.5,,,,1
2001-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,98.5,,,,1
2001-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,98.7,,,,1
2001-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,98.4,,,,1
2001-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,97.7,,,,1
2001-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,97.7,,,,1
2002-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,97.7,,,,1
2002-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,98.4,,,,1
2002-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,99.5,,,,1
2002-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,99.5,,,,1
2002-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,99.5,,,,1
2002-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,99.8,,,,1
2002-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,100.5,,,,1
2002-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,101.3,,,,1
2002-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,100.9,,,,1
2002-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,101.1,,,,1
2002-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,101.4,,,,1
2002-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,100.4,,,,1
2003-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,101.9,,,,1
2003-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,102.7,,,,1
2003-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,102.8,,,,1
2003-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,101.8,,,,1
2003-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,102.2,,,,1
2003-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,102.3,,,,1
2003-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,102.5,,,,1
2003-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,103,,,,1
2003-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,103.2,,,,1
2003-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,102.9,,,,1
2003-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,103.1,,,,1
2003-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,103.4,,,,1
2004-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,103.4,,,,1
2004-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,103.6,,,,1
2004-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,104,,,,1
2004-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,104.1,,,,1
2004-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,105,,,,1
2004-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,104.8,,,,1
2004-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,104.9,,,,1
2004-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,104.7,,,,1
2004-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,104.8,,,,1
2004-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,105,,,,1
2004-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,105.4,,,,1
2004-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,105.3,,,,1
2005-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,105.1,,,,1
2005-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,105.8,,,,1
2005-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,106.4,,,,1
2005-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,106.5,,,,1
2005-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,106.6,,,,1
2005-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,106.8,,,,1
2005-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,106.9,,,,1
2005-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,107.5,,,,1
2005-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,108.2,,,,1
2005-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,107.7,,,,1
2005-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,107.5,,,,1
2005-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,107.6,,,,1
2006-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,108.2,,,,1
2006-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,107.9,,,,1
2006-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,108.8,,,,1
2006-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,109.1,,,,1
2006-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,109.5,,,,1
2006-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,109.3,,,,1
2006-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,109,,,,1
2006-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,109.1,,,,1
2006-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,108.5,,,,1
2006-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,108.4,,,,1
2006-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,108.6,,,,1
2006-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,108.8,,,,1
2007-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,108.6,,,,1
2007-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,109.7,,,,1
2007-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,110.8,,,,1
2007-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,111.1,,,,1
2007-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,111.6,,,,1
2007-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,111.1,,,,1
2007-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,111.1,,,,1
2007-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,110.9,,,,1
2007-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,111,,,,1
2007-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,110.9,,,,1
2007-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,111.2,,,,1
2007-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,111.1,,,,1
2008-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,110.9,,,,1
2008-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,111.4,,,,1
2008-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,111.7,,,,1
2008-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,112.5,,,,1
2008-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,113.6,,,,1
2008-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,114.2,,,,1
2008-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,115.1,,,,1
2008-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,114.8,,,,1
2008-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,115.1,,,,1
2008-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,113.7,,,,1
2008-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,113.5,,,,1
2008-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,112.8,,,,1
2009-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,112.4,,,,1
2009-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,113.1,,,,1
2009-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,113.7,,,,1
2009-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,113.2,,,,1
2009-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,114,,,,1
2009-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,114.2,,,,1
2009-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,113.7,,,,1
2009-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,113.7,,,,1
2009-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,113.8,,,,1
2009-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,113.9,,,,1
2009-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,114.6,,,,1
2009-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,114.1,,,,1
2010-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,114.5,,,,1
2010-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,115.1,,,,1
2010-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,115.3,,,,1
2010-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,115.7,,,,1
2010-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,116.2,,,,1
2010-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,116,,,,1
2010-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,117,,,,1
2010-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,117,,,,1
2010-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,117.1,,,,1
2010-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,117.8,,,,1
2010-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,118,,,,1
2010-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,117.9,,,,1
2011-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,117.8,,,,1
2011-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,118,,,,1
2011-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,119.4,,,,1
2011-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,119.9,,,,1
2011-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,120.9,,,,1
2011-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,120.2,,,,1
2011-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,120.5,,,,1
2011-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,120.6,,,,1
2011-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,121.1,,,,1
2011-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,121,,,,1
2011-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,121,,,,1
2011-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,120.3,,,,1
2012-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,120.6,,,,1
2012-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,121.4,,,,1
2012-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,122,,,,1
2012-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,122.4,,,,1
2012-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,122.4,,,,1
2012-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,121.6,,,,1
2012-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,121.4,,,,1
2012-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,121.8,,,,1
2012-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,122,,,,1
2012-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,122.2,,,,1
2012-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,121.9,,,,1
2012-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,121.3,,,,1
2013-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,121.3,,,,1
2013-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,122.8,,,,1
2013-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,123.2,,,,1
2013-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,122.9,,,,1
2013-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,123,,,,1
2013-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,123.2,,,,1
2013-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,123.4,,,,1
2013-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,123.4,,,,1
2013-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,123.5,,,,1
2013-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,123.3,,,,1
2013-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,123.3,,,,1
2013-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,123.1,,,,1
2014-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,123.3,,,,1
2014-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,124.6,,,,1
2014-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,125.1,,,,1
2014-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,125.9,,,,1
2014-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,126.5,,,,1
2014-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,126.9,,,,1
2014-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,126.5,,,,1
2014-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,126.5,,,,1
2014-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,126.7,,,,1
2014-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,126.8,,,,1
2014-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,126.3,,,,1
2014-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,125.4,,,,1
2015-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,125.3,,,,1
2015-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,126.2,,,,1
2015-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,127.1,,,,1
2015-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,126.9,,,,1
2015-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,127.7,,,,1
2015-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,128.2,,,,1
2015-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,128.4,,,,1
2015-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,128,,,,1
2015-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,127.8,,,,1
2015-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,127.9,,,,1
2015-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,127.9,,,,1
2015-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,127.5,,,,1
2016-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,127.8,,,,1
2016-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,128.2,,,,1
2016-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,129,,,,1
2016-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,129.6,,,,1
2016-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,130.1,,,,1
2016-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,130.4,,,,1
2016-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,130.3,,,,1
2016-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,129.9,,,,1
2016-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,130.1,,,,1
2016-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,130.6,,,,1
2016-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,130.2,,,,1
2016-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,130,,,,1
2017-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,130.8,,,,1
2017-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,131.2,,,,1
2017-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,131.4,,,,1
2017-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,132,,,,1
2017-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,131.9,,,,1
2017-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,132.1,,,,1
2017-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,131.9,,,,1
2017-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,131.8,,,,1
2017-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,132.3,,,,1
2017-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,132.3,,,,1
2017-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,132.7,,,,1
2017-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,132,,,,1
2018-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,133.2,,,,1
2018-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,134,,,,1
2018-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,134.6,,,,1
2018-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,134.8,,,,1
2018-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,134.9,,,,1
2018-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,135.3,,,,1
2018-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,136,,,,1
2018-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,135.9,,,,1
2018-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,135.2,,,,1
2018-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,135.6,,,,1
2018-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,135.1,,,,1
2018-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,135,,,,1
2019-01-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,135.2,,,,1
2019-02-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,136,,,,1
2019-03-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,137,,,,1
2019-04-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,137.4,,,,1
2019-05-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,138.1,,,,1
2019-06-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,138,,,,1
2019-07-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,138.8,,,,1
2019-08-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,138.5,,,,1
2019-09-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,137.5,,,,1
2019-10-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,137.9,,,,1
2019-11-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,137.7,,,,1
2019-12-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,137.8,,,,1
