YEAR,GEO,DGUID,Family type,Age of older adult,Family income,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2000,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1097590,,,,0
2001,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1129170,,,,0
2002,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1162940,,,,0
2003,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1169690,,,,0
2004,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1198880,,,,0
2005,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1204870,,,,0
2006,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1244430,,,,0
2007,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1265760,,,,0
2008,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1287680,,,,0
2009,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1309490,,,,0
2010,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1325490,,,,0
2011,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1345230,,,,0
2012,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1362740,,,,0
2013,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1379950,,,,0
2014,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1400550,,,,0
2015,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1414960,,,,0
2016,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1431290,,,,0
2017,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1441700,,,,0
2018,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Total all income groups,Number,223,units,0,v21249743,19.1.1.1,1485110,,,,0
2000,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,61700,,,,0
2001,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,64700,,,,0
2002,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,64800,,,,0
2003,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,65700,,,,0
2004,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,67500,,,,0
2005,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,69900,,,,0
2006,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,71200,,,,0
2007,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,73970,,,,0
2008,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,75630,,,,0
2009,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,74110,,,,0
2010,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,75580,,,,0
2011,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,77350,,,,0
2012,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,78990,,,,0
2013,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,80680,,,,0
2014,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,83010,,,,0
2015,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,86260,,,,0
2016,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,88170,,,,0
2017,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,91700,,,,0
2018,"Toronto, Ontario",2016S0503535,Couple families,Total all ages,Median total income,Dollars,81,units,0,v21249763,19.1.1.23,95140,,,,0
2000,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,167490,,,,0
2001,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,171420,,,,0
2002,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,171910,,,,0
2003,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,169460,,,,0
2004,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,169140,,,,0
2005,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,166010,,,,0
2006,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,165660,,,,0
2007,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,168200,,,,0
2008,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,168520,,,,0
2009,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,168450,,,,0
2010,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,167790,,,,0
2011,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,168730,,,,0
2012,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,169010,,,,0
2013,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,170180,,,,0
2014,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,171930,,,,0
2015,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,174800,,,,0
2016,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,177930,,,,0
2017,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,180920,,,,0
2018,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Total all income groups,Number,223,units,0,v21249780,19.1.3.1,191850,,,,0
2000,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,53600,,,,0
2001,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,55700,,,,0
2002,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,55200,,,,0
2003,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,56100,,,,0
2004,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,56800,,,,0
2005,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,58500,,,,0
2006,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,58900,,,,0
2007,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,60540,,,,0
2008,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,61300,,,,0
2009,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,59630,,,,0
2010,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,60140,,,,0
2011,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,61130,,,,0
2012,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,62240,,,,0
2013,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,63260,,,,0
2014,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,65660,,,,0
2015,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,67880,,,,0
2016,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,69710,,,,0
2017,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,72260,,,,0
2018,"Toronto, Ontario",2016S0503535,Couple families,25 to 34 years,Median total income,Dollars,81,units,0,v21249795,19.1.3.23,74200,,,,0
2000,"Toronto, Ontario",2016S0503535,Couple families,45 to 54 years,Total all income groups,Number,223,units,0,v21260003,19.1.5.1,262360,,,,0
2001,"Toronto, Ontario",2016S0503535,Couple families,45 to 54 years,Total all income groups,Number,223,units,0,v21260003,19.1.5.1,268630,,,,0
