neighbourhood,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Agincourt North,3,1,1,1,6,2,6,7,7,5,6,2,6,6,2,1,2,3,4,4,4
Agincourt South-Malvern West,1,2,4,3,5,3,6,8,10,7,4,9,7,10,10,10,10,7,10,10,7
Alderwood,1,2,1,1,1,1,3,1,2,6,10,6,6,6,7,10,6,6,3,1,1
Annex,1,6,10,10,10,10,10,6,2,7,9,5,3,3,1,1,5,8,8,10,10
Banbury-Don Mills,4,7,4,8,8,7,8,10,6,10,10,8,7,10,10,9,10,7,4,7,8
Bathurst Manor,3,4,1,1,1,1,1,1,3,4,1,5,3,7,5,4,3,7,7,4,5
Bay Street Corridor,3,3,1,1,4,1,5,7,9,6,8,10,10,6,5,1,4,1,3,8,4
Bayview Village,4,4,1,1,1,1,6,6,10,6,3,6,8,5,1,4,9,8,10,7,10
Bayview Woods-Steeles,2,5,10,10,9,10,7,10,9,10,8,10,6,10,8,10,10,6,3,1,1
Bedford Park-Nortown,4,1,6,4,1,1,3,6,3,6,6,10,7,5,7,10,6,8,6,5,3
Beechborough-Greenbrook,1,4,1,6,8,4,3,1,4,2,1,1,4,4,2,5,9,10,10,10,10
Bendale,4,6,8,7,8,9,8,8,9,10,10,7,3,1,2,1,3,6,8,7,4
Birchcliffe-Cliffside,4,9,10,10,10,10,6,3,4,2,3,4,9,9,10,8,9,5,3,6,5
Black Creek,1,1,2,3,5,8,5,1,1,3,1,1,1,6,7,3,3,7,5,10,10
Blake-Jones,1,5,1,1,6,7,8,8,5,1,2,1,1,1,1,1,1,1,1,3,2
Briar Hill-Belgravia,2,7,10,7,3,8,10,6,10,8,10,10,7,10,9,10,10,10,10,10,10
Bridle Path-Sunnybrook-York Mills,2,1,6,2,2,7,9,10,6,3,1,5,8,8,9,5,7,8,5,5,2
Broadview North,1,1,2,2,1,1,1,2,2,1,4,4,8,6,7,5,5,3,8,10,10
Brookhaven-Amesbury,2,2,1,3,1,1,1,4,8,10,10,9,9,10,9,10,10,6,2,6,9
Cabbagetown-South St.James Town,2,1,1,6,7,7,9,10,7,10,10,10,10,10,10,10,6,3,8,8,8
Caledonia-Fairbank,1,6,3,1,3,1,1,1,1,5,8,6,4,1,1,1,2,6,10,10,10
Casa Loma,1,3,1,5,5,2,1,6,7,9,6,10,10,10,6,2,2,1,1,1,1
Centennial Scarborough,1,5,6,5,1,1,1,1,5,5,2,6,3,1,1,4,7,10,7,7,7
Church-Yonge Corridor,2,6,6,7,3,7,9,10,10,9,9,10,10,10,8,9,10,10,8,10,8
Clairlea-Birchmount,3,2,3,1,2,6,8,10,9,10,10,10,10,10,9,7,10,10,10,10,7
Clanton Park,2,4,1,6,10,10,10,10,10,8,10,10,10,10,7,4,1,3,8,4,1
Cliffcrest,3,3,6,7,5,1,5,1,4,6,9,6,7,5,5,3,7,10,10,10,10
Corso Italia-Davenport,3,2,1,3,1,2,1,1,2,7,8,7,4,3,3,1,1,1,1,4,1
Danforth,2,2,5,9,10,10,10,7,3,6,6,4,9,6,8,9,10,7,10,6,3
Danforth-East York,4,9,9,10,10,7,3,1,4,1,6,10,10,10,10,9,10,6,4,5,4
Don Valley Village,4,2,1,5,8,10,10,10,7,4,3,1,1,1,1,3,2,1,1,6,4
Dorset Park,1,1,1,5,1,6,8,10,6,10,7,10,8,6,8,6,7,6,3,4,4
Dovercourt-Wallace Emerson-Juncti,1,1,5,6,3,1,1,6,6,7,3,6,4,8,5,2,2,4,2,7,8
Downsview-Roding-CFB,1,5,8,6,9,10,10,10,6,10,10,10,10,7,9,10,10,7,8,7,3
Dufferin Grove,1,1,1,1,6,3,8,10,6,4,6,2,2,1,6,8,6,5,8,10,10
East End-Danforth,1,1,1,1,3,4,1,1,1,2,6,8,4,9,10,7,10,7,6,4,9
Edenbridge-Humber Valley,2,4,5,4,3,7,10,10,10,7,9,10,10,7,10,10,10,6,7,9,9
Eglinton East,1,1,6,4,9,6,3,6,10,8,9,5,10,10,8,7,9,10,10,10,7
Elms-Old Rexdale,2,1,1,1,1,1,4,9,10,6,9,7,4,2,2,6,10,10,9,9,10
Englemount-Lawrence,4,1,1,6,6,4,7,10,10,7,3,1,2,2,1,3,3,7,5,6,10
Eringate-Centennial-West Deane,1,4,3,5,3,1,5,6,10,7,6,2,6,10,7,10,10,10,8,10,10
Etobicoke West Mall,1,2,7,10,10,10,10,8,10,10,10,10,9,6,3,7,10,10,8,5,1
Flemingdon Park,1,1,5,9,10,6,8,10,10,10,10,10,8,10,10,10,9,10,6,5,2
Forest Hill North,3,1,4,1,1,1,2,2,1,3,1,1,4,5,2,3,1,1,6,6,9
Forest Hill South,2,1,2,7,8,10,7,10,10,10,10,10,7,3,4,7,9,6,2,3,1
Glenfield-Jane Heights,1,1,2,3,1,5,2,1,1,1,1,1,3,7,9,8,4,4,2,1,1
Greenwood-Coxwell,1,3,1,2,2,2,5,1,3,1,1,2,3,6,7,4,7,10,9,10,10
Guildwood,2,4,1,5,7,7,9,9,6,3,1,1,1,1,1,1,2,2,2,1,3
Henry Farm,2,4,9,10,8,5,9,7,6,3,3,7,9,10,10,10,10,7,7,10,10
High Park North,1,1,4,1,1,1,2,1,5,2,5,5,8,10,10,6,3,2,1,5,4
High Park-Swansea,2,4,9,8,8,8,10,10,10,10,10,10,10,10,10,8,10,10,7,5,9
Highland Creek,1,1,1,1,1,2,1,1,1,3,3,8,10,6,2,1,1,1,1,6,3
Hillcrest Village,1,6,9,10,10,10,9,10,10,9,10,6,9,10,10,10,10,10,10,10,10
Humber Heights-Westmount,2,2,4,8,10,9,10,10,10,6,7,4,4,9,10,10,8,8,10,9,5
Humber Summit,3,1,4,4,6,10,10,10,10,10,9,9,10,10,7,10,10,10,8,10,10
Humbermede,3,6,2,1,2,6,2,5,1,1,2,1,1,1,1,1,2,1,2,1,1
Humewood-Cedarvale,1,1,5,8,10,9,7,6,9,10,10,10,10,10,10,7,3,5,10,6,9
Ionview,3,1,1,1,6,5,4,7,9,7,5,5,6,2,1,3,5,3,4,7,5
Islington-City Centre West,1,2,1,1,1,3,3,4,3,4,1,5,1,1,6,10,10,9,9,7,7
Junction Area,2,4,4,3,1,6,4,9,8,9,10,10,10,10,9,6,7,10,6,10,10
Keelesdale-Eglinton West,1,1,1,2,2,6,6,8,10,8,10,10,6,2,2,7,10,6,8,6,6
Kennedy Park,1,1,1,1,1,5,6,4,7,4,7,8,7,9,6,4,4,7,4,1,1
Kensington-Chinatown,2,7,10,10,10,10,8,7,7,10,7,3,3,1,5,3,1,1,4,7,7
