DATE,GEO,DGUID,Labour force characteristics,Sex,Age group,Statistics,Data type,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2000-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7762.9,,,,1
2000-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7775.2,,,,1
2000-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7787.3,,,,1
2000-04-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7800.4,,,,1
2000-05-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7817,,,,1
2000-06-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7831,,,,1
2000-07-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7844.2,,,,1
2000-08-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7859.6,,,,1
2000-09-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7872.3,,,,1
2000-10-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7884.6,,,,1
2000-11-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7896.6,,,,1
2000-12-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7907.9,,,,1
2001-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7924.9,,,,1
2001-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7937.2,,,,1
2001-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,7951.2,,,,1
