Year,Consumer Price Index (CPI),Household Income,Prime Rate,Unemployment Rate,House Price Index (HPI),Benchmark Housing Value
2005,106.88,61800.0,4.42,6.72,102.31,316133.33
2006,108.77,63800.0,5.81,6.39,107.43,331933.33
2007,110.76,66560.0,6.1,6.49,113.57,350925.0
2008,113.28,68120.0,4.73,6.67,117.79,363975.0
2009,113.7,66790.0,2.4,9.27,118.15,365091.67
2010,116.47,68110.0,2.6,8.84,130.14,402141.67
2011,120.06,69740.0,3.0,8.0,138.54,428066.67
2012,121.75,71210.0,3.0,8.04,148.01,457383.33
2013,123.03,72830.0,3.0,7.73,154.34,476883.33
2014,125.88,75270.0,3.0,7.45,165.82,512400.0
2015,127.41,78280.0,2.78,6.88,181.3,560241.67
2016,129.68,80310.0,2.7,6.74,210.92,651750.0
2017,131.87,83020.0,2.91,6.16,250.04,772616.67
2018,134.97,86670.0,3.64,5.82,249.61,771300.0
